host_response_time,host_response_rate,host_neighbourhood,host_listings_count,neighbourhood,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,price
,,,1.0,Vidigal,Rio de Janeiro,Rio de Janeiro,22450241,-22.99201,-43.236740000000005,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,$800.00,$300.00,$80.00,2,1125,2,80.0,0.36,270.0
,,Ipanema,2.0,Ipanema,Ipanema,Rio de Janeiro,22421-020,-22.983220000000003,-43.199870000000004,Apartment,Entire home/apt,2,1.5,1.0,1.0,Real Bed,$600.00,$100.00,$50.00,2,21,3,100.0,0.51,301.0
within an hour,100%,Barra de Guaratiba,1.0,Barra de Guaratiba,Barra de Guaratiba,Rio de Janeiro,,-23.06265,-43.56503,Other,Private room,4,1.0,6.0,2.0,Real Bed,,,$0.00,1,30,1,20.0,0.09,151.0
,,,1.0,Parque Anchieta,Rio de Janeiro,Rio de Janeiro,21625,-22.83021,-43.40136,House,Entire home/apt,7,1.0,1.0,10.0,Real Bed,,,$30.00,1,1125,1,100.0,0.03,82.0
within an hour,100%,,1.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22280-020,-22.95195,-43.188520000000004,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,$20.00,$40.00,2,1125,77,98.0,2.0,69.0
within an hour,99%,Copacabana,53.0,Ipanema,Rio De Janeiro,Rj,22081,-22.98797,-43.192190000000004,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$500.00,$160.00,$30.00,1,1125,1,100.0,0.81,224.0
a few days or more,0%,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22765,-22.97237,-43.3592,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,$900.00,$60.00,$0.00,2,15,2,90.0,0.06,301.0
within a day,100%,,1.0,Ipanema,Rio de Janeiro,RJ,22410-060,-22.98529,-43.21385,Apartment,Entire home/apt,6,3.0,3.0,5.0,Real Bed,"$3,000.00",$250.00,$100.00,3,1125,4,100.0,0.11,591.0
within an hour,100%,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22765,-22.96831,-43.354079999999996,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$400.00,,$0.00,90,1125,8,88.0,0.22,69.0
,,Barra da Tijuca,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22793-081,-23.002110000000002,-43.38982,Apartment,Entire home/apt,6,3.0,4.0,4.0,Real Bed,,$130.00,$0.00,3,1125,1,100.0,0.03,1000.0
within a few hours,100%,Copacabana,5.0,São Cristóvão,Rio de Janeiro,Rio de Janeiro,20931-670,-22.89219,-43.21803,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,$500.00,$120.00,$30.00,3,90,8,100.0,0.27,96.0
within an hour,100%,Copacabana,4.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22061-020,-22.97617,-43.19301,Apartment,Entire home/apt,4,1.0,0.0,3.0,Real Bed,$0.00,$110.00,$40.00,3,360,97,96.0,2.25,139.0
within an hour,100%,,2.0,,Rio de Janeiro,RJ,22641-490,-22.98466,-43.302659999999996,Guest suite,Private room,6,3.0,3.0,2.0,Real Bed,,$30.00,$65.00,2,1125,1,100.0,0.75,120.0
within an hour,100%,Copacabana,4.0,Copacabana,Copacabana,Rio de Janeiro,22080-001,-22.9813,-43.19143,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,$50.00,$50.00,1,60,2,100.0,0.3,116.0
,,,1.0,Barra da Tijuca,Rio de Janeiro,RJ,22776-050,-22.99091,-43.34745,Apartment,Entire home/apt,7,3.0,3.0,6.0,Real Bed,$0.00,$250.00,$0.00,3,1125,3,100.0,0.14,699.0
within a day,80%,,4.0,Barra da Tijuca,Jacarepagua,Rio de Janeiro,,-22.97029,-43.39263,Condominium,Private room,1,4.0,2.0,2.0,Real Bed,,,$0.00,1,365,2,100.0,0.77,151.0
,,,2.0,Lagoa,Rio de Janeiro,Rio de Janeiro,22471,-22.972189999999998,-43.20827,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,,,$0.00,1,1125,1,100.0,0.03,386.0
,,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22050,-22.97165,-43.18564,Apartment,Entire home/apt,8,2.0,3.0,6.0,Real Bed,,$200.00,$50.00,5,12,7,83.0,0.17,232.0
within an hour,100%,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22050-010,-22.97447,-43.18687,Apartment,Entire home/apt,7,3.0,3.0,3.0,Real Bed,$0.00,$170.00,$50.00,3,30,1,100.0,0.18,701.0
,,,1.0,Lapa,Rio de Janeiro,Rio de Janeiro,20241-140,-22.91376,-43.17949,House,Entire home/apt,2,1.0,0.0,1.0,Real Bed,,,$0.00,3,5,1,60.0,0.02,147.0
within an hour,100%,Ipanema,1.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22421-030,-22.98336,-43.208529999999996,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,,$200.00,$50.00,2,1124,82,98.0,2.75,293.0
,,Lapa,1.0,Lapa,Rio de Janeiro,Rio de Janeiro,20230-014,-22.914360000000002,-43.18421,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"$1,000.00",$150.00,$0.00,3,1125,2,100.0,0.1,181.0
,,Praça da Bandeira,1.0,Praça da Bandeira,Praca da Bandeira,Rio de Janeiro,20260-100,-22.913320000000002,-43.21269,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,$0.00,1,16,1,20.0,0.28,152.0
within an hour,100%,Flamengo,2.0,Flamengo,Flamengo,Rio de Janeiro,22210-030,-22.9272,-43.173429999999996,Apartment,Entire home/apt,5,2.0,3.0,4.0,Real Bed,"$1,000.00",$150.00,$50.00,5,60,3,90.0,0.43,234.0
within an hour,100%,Leblon,2.0,Leblon,Rio de Janeiro,Rio de Janeiro,22430-190,-22.98282,-43.22286,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"$3,000.00",,$0.00,2,1125,11,98.0,0.32,571.0
,,Ipanema,1.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22410-003,-22.98614,-43.21086,Apartment,Entire home/apt,4,2.5,2.0,3.0,Real Bed,"$2,000.00",$200.00,$0.00,3,30,3,93.0,0.05,1602.0
within a few hours,100%,Copacabana,2.0,Copacabana,Rio de Janeiro ,Copacabana,22080-001,-22.98283,-43.19158,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$500.00,$150.00,$50.00,3,1125,8,95.0,0.13,232.0
within an hour,100%,Copacabana,3.0,Copacabana,Rio de Janeiro,RJ,22060-040,-22.98051,-43.189209999999996,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,"$3,000.00",$250.00,$100.00,2,90,13,94.0,0.38,251.0
within a few hours,90%,,2.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22280-020,-22.954829999999998,-43.18809,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,,$16.00,$0.00,1,1125,98,100.0,3.34,62.0
,,,1.0,Botafogo,Rio de Janeiro,RJ,22260-040,-22.94714,-43.18795,Apartment,Entire home/apt,6,2.0,3.0,5.0,Real Bed,"$4,800.00",$150.00,$300.00,6,18,1,100.0,0.03,980.0
within an hour,100%,,10.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22410003,-22.9843,-43.20997,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$700.00,$180.00,$0.00,2,1125,3,73.0,0.08,181.0
within an hour,97%,,2.0,Ipanema,Rio de Janeiro,RJ,22420010,-22.98369,-43.19751,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,$100.00,$0.00,1,15,43,92.0,2.8,251.0
within a day,100%,Leblon,20.0,Leblon,Rio de Janeiro,Rio de Janeiro,22431050,-22.98615,-43.22702,Serviced apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"$2,500.00",$280.00,$80.00,3,1000,9,91.0,0.17,280.0
within an hour,100%,Ipanema,58.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22420-041,-22.98595,-43.19903,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,$0.00,1,1125,5,96.0,0.06,463.0
within a day,100%,Barra da Tijuca,1.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22640-100,-23.0029,-43.32887,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,,$100.00,$0.00,2,1125,4,93.0,1.15,289.0
within a few hours,90%,Lapa,1.0,Lapa,Centro,Rio de Janeiro,20231-014,-22.912679999999998,-43.18315,Serviced apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,,,$50.00,3,1125,9,96.0,1.27,151.0
,,,1.0,Leblon,Rio de Janeiro ,RJ,22430-050,-22.98276,-43.21796,Serviced apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,,,$0.00,2,1125,1,100.0,0.18,502.0
within an hour,100%,Ipanema,1.0,Ipanema,Ipanema,Rio de Janeiro,22420-043,-22.98469,-43.20924,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"$3,000.00",$380.00,$250.00,3,28,11,95.0,0.82,459.0
,,Jardim Botânico,1.0,Jardim Botânico,Rio,Rio de Janeiro,22461-151,-22.957320000000003,-43.20639,Apartment,Entire home/apt,1,1.5,1.0,1.0,Real Bed,"$1,500.00",$150.00,$50.00,5,90,1,100.0,0.31,179.0
,,,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22051012,-22.974239999999998,-43.19024,Apartment,Entire home/apt,4,1.0,1.0,4.0,Real Bed,,,$0.00,3,1125,3,100.0,0.18,251.0
within an hour,100%,Copacabana,19.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22631-000,-23.005020000000002,-43.32095,Serviced apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,"$1,000.00",$150.00,$0.00,2,90,3,93.0,0.17,171.0
,,,1.0,Glória,Rio de Janeiro,Rio de Janeiro,20241180,-22.91909,-43.17634,Apartment,Entire home/apt,10,2.0,3.0,10.0,Real Bed,"$6,816.00",$156.00,$0.00,7,60,1,60.0,0.02,58.0
within an hour,100%,Ipanema,2.0,Ipanema,Rio,Rio de Janeiro,22071-110,-22.985979999999998,-43.1974,Apartment,Entire home/apt,2,2.0,0.0,1.0,Real Bed,$433.00,$190.00,$0.00,3,90,57,91.0,0.74,239.0
within an hour,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22050-002,-22.96647,-43.17988,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,$0.00,$170.00,$150.00,3,120,36,95.0,0.88,151.0
within a few hours,100%,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22793-380,-23.00754,-43.42915,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,$516.00,$172.00,$0.00,3,12,1,100.0,0.03,251.0
within a few hours,100%,Copacabana,6.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,,-22.97325,-43.38305,Condominium,Private room,1,1.0,1.0,1.0,Real Bed,,,$50.00,2,1125,2,100.0,0.24,100.0
within a few hours,100%,,1.0,Cosme Velho,Rio de Janeiro,Rio de Janeiro,22241-260,-22.94194,-43.20369,House,Entire home/apt,16,6.0,5.0,16.0,Real Bed,"$4,000.00",$500.00,$150.00,2,1125,4,100.0,0.14,799.0
,,,2.0,Leblon,Leblon,Rio de Janeiro,,-22.982029999999998,-43.22391,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,,,$0.00,4,1125,1,60.0,0.28,351.0
within an hour,100%,Copacabana,2.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22040-020,-22.966520000000003,-43.1856,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,,$130.00,$0.00,2,1125,52,100.0,1.85,166.0
within an hour,100%,Copacabana,3.0,Copacabana,Rio de ,Rio de Janeiro,22070-011,-22.98156,-43.191759999999995,Apartment,Entire home/apt,6,2.0,3.0,4.0,Real Bed,$400.00,$200.00,$50.00,5,30,1,100.0,0.05,289.0
within an hour,100%,Ipanema,46.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22081-020,-22.982789999999998,-43.19278,Apartment,Entire home/apt,4,2.5,2.0,2.0,Real Bed,$0.00,$195.00,$0.00,2,365,11,91.0,0.83,459.0
a few days or more,0%,Leblon,3.0,Leblon,Rio de Janeiro,RJ,22441-020,-22.986420000000003,-43.21861,House,Entire home/apt,7,2.0,3.0,5.0,Real Bed,,,$0.00,3,1125,1,100.0,0.29,2100.0
,,Santa Teresa,1.0,Santa Teresa,Santa Teresa,Rio de Janeiro,20231-050,-22.918000000000003,-43.18531,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"$1,000.00",$50.00,$50.00,1,1125,1,100.0,0.28,156.0
,,Leme,2.0,Leme,Leme,Rio de Janeiro,22010-060,-22.9608,-43.170840000000005,House,Private room,6,2.0,1.0,6.0,Real Bed,$0.00,$100.00,$100.00,4,1125,2,100.0,0.12,452.0
within a day,55%,Glória,27.0,Leblon,Rio de Janeiro,Rio de Janeiro,22441,-22.98365,-43.22439,Apartment,Entire home/apt,6,3.0,3.0,5.0,Real Bed,$0.00,$400.00,$200.00,1,1125,5,92.0,0.12,502.0
within an hour,100%,Leblon,1.0,Leblon,Rio de Janeiro,Rio de Janeiro,22431-050,-22.98227,-43.22723,Serviced apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"$1,000.00",$120.00,$40.00,1,1125,108,97.0,2.2,201.0
within an hour,97%,Flamengo,313.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22011-010,-22.95978,-43.17463,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,$155.00,$0.00,2,730,1,60.0,0.37,89.0
,,Lapa,1.0,Lapa,Rio de Janeiro,Rio de Janeiro,20230-150,-22.91251,-43.180679999999995,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,,,$0.00,3,30,8,93.0,0.23,270.0
within a day,50%,,2.0,Barra da Tijuca,Rio de Janeiro,RJ,22776070,-22.98764,-43.35524,Condominium,Entire home/apt,5,3.5,3.0,5.0,Real Bed,$500.00,$900.00,$100.00,6,1125,1,100.0,0.21,548.0
within an hour,100%,Barra da Tijuca,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22630,-23.010820000000002,-43.35908,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,,,$0.00,4,27,7,97.0,0.24,1447.0
within a few hours,100%,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22011-010,-22.962239999999998,-43.17498,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,,,$0.00,5,1125,2,100.0,2.0,162.0
within an hour,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22081-031,-22.98399,-43.191829999999996,Condominium,Entire home/apt,9,2.5,5.0,8.0,Real Bed,$386.00,$309.00,$19.00,2,30,35,92.0,1.64,1119.0
a few days or more,0%,Lapa,1.0,Centro,Centro,Rio de Janeiro,20231-015,-22.91365,-43.18217,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,$161.00,$0.00,2,1125,1,100.0,0.06,301.0
within an hour,100%,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22040,-22.96744,-43.18425,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,$0.00,$139.00,$79.00,2,31,33,96.0,1.87,151.0
within a day,50%,,1.0,Botafogo,Botafogo,Rio de Janeiro,22251-030,-22.94695,-43.18793,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,,$80.00,$60.00,1,1125,11,80.0,0.54,151.0
within an hour,100%,,1.0,,Jacarepagua,Rio de Janeiro,22780,-22.97035,-43.42412,Condominium,Entire home/apt,4,2.0,2.0,3.0,Real Bed,$400.00,$140.00,$0.00,5,1125,15,100.0,0.89,249.0
within an hour,100%,Jardim Botânico,2.0,Jardim Botânico,Rio,RJ,22461-010,-22.96365,-43.21822,Apartment,Entire home/apt,4,3.5,2.0,3.0,Real Bed,"$2,000.00",$200.00,$200.00,2,365,2,80.0,0.05,598.0
,,Barra da Tijuca,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22.062-172,-23.01214,-43.32282,Apartment,Entire home/apt,6,2.0,3.0,5.0,Real Bed,"$3,000.00",,$0.00,10,1125,1,80.0,0.03,1698.0
within a few hours,100%,Laranjeiras,6.0,Laranjeiras,Rio de Janeiro,RJ,22231-220,-22.93473,-43.18745,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,$0.00,$160.00,$0.00,2,3,4,100.0,0.94,498.0
within an hour,100%,Barra da Tijuca,2.0,Barra da Tijuca,Rio de Janeiro,RJ,22640350,-23.00239,-43.30673,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,$0.00,$70.00,$40.00,1,1125,6,97.0,0.28,62.0
,,Botafogo,2.0,Botafogo,Rio,Rio de Janeiro,22290-030,-22.948970000000003,-43.18096,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"$1,000.00",$160.00,$0.00,3,90,4,100.0,0.07,452.0
within a day,60%,Copacabana,21.0,Copacabana,Rio De Janeiro,Rj,22060-040,-22.97909,-43.189659999999996,Aparthotel,Private room,4,1.0,1.0,1.0,Real Bed,$500.00,$100.00,$0.00,2,1125,29,93.0,0.46,154.0
within an hour,100%,,10.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22410003,-22.98303,-43.209590000000006,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$500.00,$150.00,$0.00,1,1125,10,86.0,0.16,158.0
within a day,75%,Barra da Tijuca,1.0,Barra da Tijuca,Rio,Rio de Janeiro,22630,-23.00984,-43.34531,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$600.00,$100.00,$0.00,7,80,14,97.0,0.23,259.0
within an hour,100%,Copacabana,7.0,Copacabana,Rio de Janeiro,Rio de Janeiro,,-22.97576,-43.19078,Apartment,Entire home/apt,16,6.0,5.0,11.0,Real Bed,"$15,000.00",$400.00,$200.00,1,365,39,94.0,0.91,1200.0
a few days or more,33%,Santa Teresa,1.0,Santa Teresa,Santa Teresa,Rio de Janeiro,20241-040,-22.9189,-43.1808,Apartment,Private room,2,2.5,0.0,2.0,Real Bed,$450.00,$0.00,$70.00,1,1125,1,100.0,0.18,69.0
,,Leblon,1.0,Leblon,Rio de Janeiro,Rio de Janeiro,22431040,-22.98461,-43.22316,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$350.00,$70.00,$0.00,2,5,13,98.0,0.27,199.0
,,,1.0,Barra da Tijuca,Barra da Tijuca,State of Rio de Janeiro,22620-172,-23.0133,-43.32077,Apartment,Entire home/apt,6,3.5,3.0,3.0,Real Bed,,$300.00,$0.00,3,85,1,100.0,0.03,849.0
,,,2.0,Copacabana,Rio de Janeiro,RJ,22040-002,-22.96869,-43.18764,Apartment,Entire home/apt,6,1.0,1.0,2.0,Real Bed,,,$180.00,1,1125,36,86.0,1.04,120.0
within an hour,90%,Recreio dos Bandeirantes,1.0,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio de Janeiro,22790-382,-23.00759,-43.45879,Apartment,Entire home/apt,4,2.0,2.0,1.0,Real Bed,,$150.00,$0.00,2,21,1,100.0,0.48,208.0
within an hour,100%,Copacabana,2.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22071-100,-22.98181,-43.19263,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,$100.00,$0.00,3,30,82,98.0,1.06,89.0
,,Copacabana,1.0,Copacabana,Rio,Rio de Janeiro,22020-020,-22.96651,-43.17672,Apartment,Entire home/apt,5,2.0,2.0,5.0,Real Bed,$0.00,$170.00,$120.00,3,1125,3,100.0,0.1,479.0
within an hour,100%,Recreio dos Bandeirantes,3.0,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio de Janeiro,22790-883,-23.01951,-43.51101,Condominium,Entire home/apt,5,2.0,2.0,4.0,Real Bed,"$2,000.00",$185.00,$25.00,2,1125,7,100.0,0.96,158.0
within an hour,100%,,2.0,Copacabana,Rio de Janeiro,RJ,22050-001,-22.97938,-43.18864,Apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,,$120.00,$50.00,3,90,48,98.0,1.57,151.0
,,Ipanema,1.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22410-003,-22.98527,-43.20733,Apartment,Entire home/apt,4,1.5,1.0,3.0,Real Bed,"$1,500.00",$150.00,$0.00,2,1125,3,100.0,0.1,300.0
within a few hours,90%,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22711,-22.96754,-43.38644,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,,$150.00,$0.00,2,1125,13,100.0,0.49,251.0
within a few hours,92%,,4.0,,Rio de Janeiro,Rio de Janeiro,22780,-22.962410000000002,-43.3988,Loft,Entire home/apt,2,1.0,1.0,2.0,Real Bed,$600.00,$220.00,$0.00,1,1125,15,97.0,0.48,100.0
within a day,100%,,1.0,Catete,Rio de Janeiro,Rio de Janeiro,22221,-22.92527,-43.17816,Apartment,Entire home/apt,2,1.0,1.0,1.0,Pull-out Sofa,$550.00,$150.00,$20.00,1,1125,3,93.0,0.84,96.0
within a few hours,98%,Copacabana,65.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22420-043,-22.98421,-43.2108,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,,,$0.00,4,1125,2,100.0,0.05,1150.0
within an hour,99%,Ipanema,340.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22020-001,-22.97321,-43.18639,Apartment,Entire home/apt,12,2.0,3.0,3.0,Real Bed,$800.00,$130.00,$38.00,3,1125,4,100.0,0.14,367.0
within a few hours,90%,Recreio dos Bandeirantes,8.0,,Rio de Janeiro,Rio de Janeiro,22785-160,-22.96978,-43.49364,Loft,Private room,2,1.0,1.0,1.0,Pull-out Sofa,$0.00,$0.00,$50.00,2,30,1,20.0,0.13,50.0
,,Laranjeiras,1.0,Laranjeiras,Rio de Janeiro,Rio de Janeiro,22231-130,-22.9329,-43.18039,Apartment,Entire home/apt,3,1.5,1.0,2.0,Real Bed,,$100.00,$0.00,2,1125,1,100.0,0.03,300.0
within a few hours,93%,Copacabana,13.0,Copacabana,Copacabana,Rio de Janeiro,22060,-22.97941,-43.19073,Apartment,Entire home/apt,5,1.5,2.0,3.0,Real Bed,$500.00,$150.00,$25.00,2,31,1,100.0,1.0,162.0
within a few hours,90%,,3.0,Barra da Tijuca,Rio de Janeiro,RJ,22630-010,-23.00701,-43.328559999999996,Apartment,Entire home/apt,5,4.0,3.0,2.0,Real Bed,,$150.00,$0.00,2,1125,10,84.0,0.29,378.0
,,Glória,1.0,Glória,Rio de Janeiro,Rio de Janeiro,22210-030,-22.92442,-43.172909999999995,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,$300.00,$50.00,$0.00,3,14,13,95.0,0.29,108.0
within an hour,100%,Leblon,2.0,Lapa,Rio de Janeiro,RJ,20231-091,-22.91209,-43.18298,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$0.00,$40.00,$40.00,2,1125,19,95.0,1.91,100.0
,,Barra da Tijuca,2.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22631005,-23.00357,-43.3272,Apartment,Entire home/apt,3,2.5,1.0,2.0,Real Bed,"$16,423.00",,$0.00,6,1125,1,100.0,0.03,522.0
within a day,90%,Ipanema,5.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22411,-22.98424,-43.20223,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,$300.00,$100.00,$50.00,5,60,4,100.0,0.08,598.0
within an hour,100%,,1.0,Leblon,Rio de Janeiro,RJ,22441040,-22.97847,-43.22415,Condominium,Entire home/apt,4,3.0,2.0,2.0,Real Bed,,$300.00,$0.00,3,1125,25,99.0,1.25,1200.0
a few days or more,34%,Copacabana,4.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22020-001,-22.97467,-43.1894,Apartment,Entire home/apt,5,1.5,2.0,2.0,Real Bed,$0.00,$0.00,$0.00,5,1125,5,92.0,0.1,251.0
within a day,100%,Barra da Tijuca,2.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22790,-23.00245,-43.42584,Apartment,Entire home/apt,3,2.0,2.0,2.0,Real Bed,$100.00,$100.00,$100.00,60,1125,5,92.0,0.11,224.0
within a few hours,100%,Lapa,1.0,Centro,Rio de Janeiro,Rio de Janeiro,20231-016,-22.912129999999998,-43.18776,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,,$160.00,$50.00,3,1125,8,85.0,0.2,199.0
within an hour,100%,Copacabana,2.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22280-080,-22.955820000000003,-43.185179999999995,Apartment,Entire home/apt,4,2.5,2.0,3.0,Real Bed,$400.00,$135.00,$0.00,2,30,4,100.0,0.1,448.0
,,,1.0,Lagoa,Rio de Janeiro,Rio de Janeiro,22471-140,-22.965999999999998,-43.20207,Apartment,Entire home/apt,4,3.0,2.0,3.0,Real Bed,,,$0.00,1,1125,1,100.0,0.03,714.0
within a few hours,100%,,1.0,Ipanema,Rio de Janeiro,RJ,22410-003,-22.9835,-43.20917,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,,$193.00,$0.00,2,60,21,95.0,0.61,309.0
a few days or more,0%,Lapa,1.0,Lapa,Rio de Janeiro,Rio de Janeiro,20211-350,-22.91014,-43.18975,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$0.00,$97.00,$0.00,5,90,2,60.0,0.03,120.0
within a day,100%,Ipanema,1.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22420,-22.984820000000003,-43.20155,Apartment,Entire home/apt,6,3.0,2.0,5.0,Real Bed,$500.00,$250.00,$120.00,2,90,4,95.0,0.19,301.0
,,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22041,-22.97147,-43.1873,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"$1,000.00",$200.00,$0.00,4,6,1,100.0,0.03,499.0
within an hour,90%,Copacabana,2.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22011-001,-22.9633,-43.17795,Apartment,Entire home/apt,9,2.0,3.0,9.0,Real Bed,$500.00,$120.00,$70.00,3,1125,2,100.0,0.05,351.0
within a few hours,80%,,1.0,Leblon,Rio de Janeiro,RJ,22440,-22.98491,-43.2186,Loft,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$342.00,$150.00,$0.00,2,1125,57,92.0,1.63,129.0
within an hour,100%,,2.0,Copacabana,Copacabana,Rio de Janeiro,22071-060,-22.98195,-43.19647,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,,$65.00,$38.00,2,15,2,90.0,0.36,96.0
within a few hours,90%,Copacabana,2.0,Copacabana,Rio de Janeiro,State of Rio de Janeiro,22021,-22.98143,-43.189370000000004,Loft,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$500.00,$150.00,$50.00,2,1125,131,92.0,2.49,131.0
,,Flamengo,1.0,Flamengo,Rio,Rio de Janeiro,22210-080,-22.934929999999998,-43.1772,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,,,$0.00,2,1125,35,95.0,0.58,201.0
