host_response_time,host_response_rate,host_neighbourhood,host_listings_count,neighbourhood,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,price
,,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22040-002,-22.967589999999998,-43.18448,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,,,$0.00,4,10,1,100.0,0.18,699.0
within a few hours,100%,Lapa,3.0,Centro,Rio de Janeiro,Rio de Janeiro,20231-014,-22.91064,-43.18274,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,$386.00,$135.00,$0.00,3,360,39,96.0,0.98,116.0
within an hour,100%,Zona 3,2.0,Leblon,Rio de Janeiro,RJ,22440060,-22.988979999999998,-43.22769,Apartment,Entire home/apt,8,3.0,4.0,5.0,Real Bed,"$1,000.00",$300.00,$0.00,3,30,3,93.0,0.52,980.0
,,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22051-011,-22.973489999999998,-43.18695,Apartment,Private room,2,4.0,1.0,1.0,Real Bed,,$170.00,$0.00,3,1125,1,100.0,0.03,214.0
within an hour,100%,Santa Teresa,7.0,Santa Teresa,Santa Teresa,Rio de Janeiro,20240-020,-22.91733,-43.19034,House,Private room,2,1.0,1.0,1.0,Real Bed,,,$0.00,2,30,8,95.0,1.86,69.0
,,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22020-020,-22.96396,-43.17495,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,$0.00,$194.00,$19.00,8,30,8,95.0,0.45,154.0
,,,1.0,Recreio dos Bandeirantes,Río de Janeiro,RJ,22709704,-23.02005,-43.49292,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,$391.00,$150.00,$50.00,2,1125,13,97.0,0.73,152.0
within an hour,100%,,1.0,Botafogo,Botafogo,Rio de Janeiro,22250,-22.94047,-43.18033,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,,$108.00,$40.00,2,1125,26,98.0,2.43,131.0
within a few hours,92%,Ipanema,48.0,Ipanema,Rio de Janeiro,RJ,22411-030,-22.98092,-43.20467,Apartment,Entire home/apt,6,1.0,2.0,4.0,Real Bed,"$1,000.00",$150.00,$25.00,5,90,9,93.0,0.2,378.0
within an hour,100%,,3.0,Copacabana,Rio de Janeiro,RJ,22080001,-22.983620000000002,-43.19236,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"$1,000.00",$200.00,$100.00,1,1125,2,100.0,0.37,208.0
within an hour,99%,Copacabana,53.0,Copacabana,Rio De Janeiro,Rj,22070-000,-22.97597,-43.18974,Apartment,Entire home/apt,5,1.0,1.0,5.0,Real Bed,$0.00,$60.00,$30.00,1,1125,2,100.0,2.0,247.0
within a few hours,90%,,3.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22020,-22.96753,-43.17868,Apartment,Entire home/apt,4,2.0,1.0,3.0,Real Bed,,$193.00,$0.00,3,1125,15,99.0,0.36,282.0
within an hour,100%,Botafogo,1.0,Botafogo,Botafogo,Rio de Janeiro,22251,-22.94886,-43.18199,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,$0.00,$120.00,$100.00,1,90,31,99.0,1.46,151.0
,,,1.0,Gávea,Rio de Janeiro,Rio de Janeiro,,-22.987820000000003,-43.24049,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,,$0.00,$50.00,4,1125,2,100.0,0.07,89.0
within a day,60%,Copacabana,3.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22040-001,-22.96943,-43.186659999999996,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,,,$0.00,5,360,1,80.0,0.18,151.0
within a day,100%,Botafogo,1.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22250-040,-22.9461,-43.18357,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,$0.00,$50.00,$40.00,1,1125,20,89.0,0.33,81.0
within an hour,97%,Flamengo,313.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22071-020,-22.97946,-43.190979999999996,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,$155.00,$0.00,2,730,8,80.0,0.77,77.0
within a day,90%,,1.0,Leme,Rio de Janeiro,Rio de Janeiro,22010-060,-22.96086,-43.17147,House,Entire home/apt,4,2.0,1.0,1.0,Real Bed,$0.00,$150.00,$45.00,2,1125,13,100.0,0.35,100.0
,,,1.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22290-080,-22.95645,-43.17772,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"$1,500.00",$150.00,$0.00,5,1125,4,93.0,0.06,301.0
,,,1.0,Tijuca,Tijuca,Rio de Janeiro,,-22.91919,-43.21618,Apartment,Private room,1,2.0,1.0,1.0,Real Bed,$0.00,$20.00,$30.00,1,5,2,100.0,0.14,47.0
within an hour,97%,Del Castilho,23.0,Del Castilho,Rio de Janeiro,State of Rio de Janeiro,21051,-22.87535,-43.26695,Apartment,Entire home/apt,8,2.0,2.0,8.0,Real Bed,,$150.00,$15.00,1,1125,4,93.0,0.08,151.0
